Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
Superstar;Max1;m;;50S;00:24.60
;;;;50R;00:24.60
;;;;50B;00:24.60
;;;;50K;00:24.60
;;;;100S;00:53.30
;;;;100R;00:53.30
;;;;100B;00:53.30
;;;;100K;00:53.30
;;;;100Lg;00:53.30
;;;;200S;01:54.80
;;;;200R;01:54.80
;;;;200B;01:54.80
;;;;200K;01:54.80
;;;;200Lg;01:54.80
;;;;400K;04:06.00
;;;;400Lg;04:06.00
;;;;800K;08:53.00
;;;;1500K;17:46.00
Elite2;Max2;m;;50S;00:25.73
;;;;50R;00:26.16
;;;;50B;00:26.51
;;;;50K;00:26.67
;;;;100S;00:56.11
;;;;100R;00:57.35
;;;;100B;00:56.36
;;;;100K;00:58.24
;;;;100Lg;00:57.01
;;;;200S;02:03.11
;;;;200R;02:05.66
;;;;200B;02:03.75
;;;;200K;02:05.49
;;;;200Lg;02:05.26
;;;;400K;04:22.06
;;;;400Lg;04:25.08
;;;;800K;09:32.45
;;;;1500K;19:12.28
Elite3;Max3;m;;50S;00:27.00
;;;;50R;00:26.88
;;;;50B;00:26.13
;;;;50K;00:26.51
;;;;100S;00:58.33
;;;;100R;00:57.73
;;;;100B;00:57.17
;;;;100K;00:56.11
;;;;100Lg;00:55.53
;;;;200S;02:05.68
;;;;200R;02:03.06
;;;;200B;01:59.37
;;;;200K;02:04.17
;;;;200Lg;02:02.85
;;;;400K;04:23.00
;;;;400Lg;04:16.74
;;;;800K;09:20.94
;;;;1500K;18:42.79
Elite4;Max4;m;;50S;00:26.00
;;;;50R;00:26.05
;;;;50B;00:26.37
;;;;50K;00:26.25
;;;;100S;00:57.23
;;;;100R;00:56.66
;;;;100B;00:56.96
;;;;100K;00:56.57
;;;;100Lg;00:56.71
;;;;200S;02:01.06
;;;;200R;02:03.43
;;;;200B;02:02.62
;;;;200K;01:59.51
;;;;200Lg;02:00.76
;;;;400K;04:20.92
;;;;400Lg;04:21.48
;;;;800K;09:31.95
;;;;1500K;18:50.52
Elite5;Max5;m;;50S;00:26.68
;;;;50R;00:25.92
;;;;50B;00:26.62
;;;;50K;00:25.58
;;;;100S;00:57.42
;;;;100R;00:57.22
;;;;100B;00:55.87
;;;;100K;00:58.15
;;;;100Lg;00:57.56
;;;;200S;02:01.88
;;;;200R;02:01.78
;;;;200B;02:03.64
;;;;200K;01:59.75
;;;;200Lg;02:05.48
;;;;400K;04:25.39
;;;;400Lg;04:25.90
;;;;800K;09:29.27
;;;;1500K;18:37.94
Elite6;Max6;m;;50S;00:25.60
;;;;50R;00:26.39
;;;;50B;00:26.06
;;;;50K;00:27.00
;;;;100S;00:56.05
;;;;100R;00:57.86
;;;;100B;00:56.35
;;;;100K;00:57.97
;;;;100Lg;00:57.23
;;;;200S;02:03.96
;;;;200R;02:05.72
;;;;200B;02:01.90
;;;;200K;02:03.85
;;;;200Lg;02:02.26
;;;;400K;04:18.89
;;;;400Lg;04:28.23
;;;;800K;09:14.33
;;;;1500K;18:46.04
Elite7;Max7;m;;50S;00:26.89
;;;;50R;00:25.56
;;;;50B;00:26.78
;;;;50K;00:26.88
;;;;100S;00:56.47
;;;;100R;00:57.55
;;;;100B;00:58.20
;;;;100K;00:58.18
;;;;100Lg;00:58.46
;;;;200S;02:03.38
;;;;200R;02:00.60
;;;;200B;02:04.03
;;;;200K;02:01.62
;;;;200Lg;02:00.48
;;;;400K;04:17.05
;;;;400Lg;04:15.96
;;;;800K;09:21.90
;;;;1500K;18:25.97
Schwimmer8;Max8;m;;50S;00:34.18
;;;;50R;00:34.52
;;;;50B;00:37.47
;;;;50K;00:35.80
;;;;100S;01:06.74
;;;;100R;01:15.53
;;;;100B;01:03.35
;;;;100K;01:03.09
;;;;100Lg;01:14.37
;;;;200S;02:50.64
;;;;200R;02:23.70
;;;;200B;02:17.84
;;;;200K;02:24.48
;;;;200Lg;02:29.68
;;;;400K;04:55.89
;;;;400Lg;05:09.66
;;;;800K;10:30.96
;;;;1500K;21:54.31
Schwimmer9;Max9;m;;50S;00:32.28
;;;;50R;00:37.07
;;;;50B;00:31.61
;;;;50K;00:33.40
;;;;100S;01:08.72
;;;;100R;01:20.44
;;;;100B;01:14.84
;;;;100K;01:06.96
;;;;100Lg;01:18.85
;;;;200S;02:35.17
;;;;200R;02:32.00
;;;;200B;02:24.24
;;;;200K;02:36.35
;;;;200Lg;02:20.58
;;;;400K;05:13.60
;;;;400Lg;04:59.34
;;;;800K;12:57.57
;;;;1500K;23:07.83
Schwimmer10;Max10;m;;50S;00:30.84
;;;;50R;00:30.71
;;;;50B;00:35.36
;;;;50K;00:30.89
;;;;100S;01:06.60
;;;;100R;01:20.09
;;;;100B;01:03.67
;;;;100K;01:10.90
;;;;100Lg;01:13.62
;;;;200S;02:41.26
;;;;200R;02:41.99
;;;;200B;02:44.54
;;;;200K;02:36.57
;;;;200Lg;02:35.52
;;;;400K;05:35.46
;;;;400Lg;05:47.45
;;;;800K;13:22.02
;;;;1500K;21:50.52
Schwimmer11;Max11;m;;50S;00:36.37
;;;;50R;00:28.80
;;;;50B;00:31.92
;;;;50K;00:36.08
;;;;100S;01:05.73
;;;;100R;01:14.26
;;;;100B;01:01.88
;;;;100K;01:02.40
;;;;100Lg;01:07.98
;;;;200S;02:19.01
;;;;200R;02:47.47
;;;;200B;02:17.55
;;;;200K;02:52.78
;;;;200Lg;02:28.07
;;;;400K;06:02.31
;;;;400Lg;06:11.85
;;;;800K;10:32.21
;;;;1500K;26:24.53
Schwimmer12;Max12;m;;50S;00:30.85
;;;;50R;00:35.67
;;;;50B;00:35.45
;;;;50K;00:33.73
;;;;100S;01:14.05
;;;;100R;01:06.15
;;;;100B;01:13.42
;;;;100K;01:17.81
;;;;100Lg;01:14.05
;;;;200S;02:53.09
;;;;200R;02:37.79
;;;;200B;02:18.11
;;;;200K;02:30.00
;;;;200Lg;02:19.23
;;;;400K;05:31.24
;;;;400Lg;06:10.71
;;;;800K;12:44.39
;;;;1500K;23:40.76
Schwimmer13;Max13;m;;50S;00:34.02
;;;;50R;00:30.16
;;;;50B;00:29.39
;;;;50K;00:36.12
;;;;100S;01:07.39
;;;;100R;01:02.26
;;;;100B;01:10.90
;;;;100K;01:05.10
;;;;100Lg;01:14.17
;;;;200S;02:34.92
;;;;200R;02:46.14
;;;;200B;02:36.92
;;;;200K;02:31.37
;;;;200Lg;02:32.29
;;;;400K;04:55.21
;;;;400Lg;04:57.11
;;;;800K;11:12.93
;;;;1500K;21:42.22
Schwimmer14;Max14;m;;50S;00:30.51
;;;;50R;00:35.40
;;;;50B;00:35.25
;;;;50K;00:34.00
;;;;100S;01:13.27
;;;;100R;01:14.69
;;;;100B;01:07.70
;;;;100K;01:10.99
;;;;100Lg;01:13.01
;;;;200S;02:52.56
;;;;200R;02:25.99
;;;;200B;02:19.33
;;;;200K;02:40.65
;;;;200Lg;02:20.92
;;;;400K;05:39.46
;;;;400Lg;05:44.40
;;;;800K;11:39.63
;;;;1500K;23:19.53
Schwimmer15;Max15;m;;50S;00:33.05
;;;;50R;00:29.48
;;;;50B;00:30.55
;;;;50K;00:30.34
;;;;100S;01:11.50
;;;;100R;01:14.98
;;;;100B;01:09.23
;;;;100K;01:07.73
;;;;100Lg;01:14.97
;;;;200S;02:47.88
;;;;200R;02:38.79
;;;;200B;02:26.59
;;;;200K;02:40.14
;;;;200Lg;02:13.99
;;;;400K;05:36.79
;;;;400Lg;05:03.86
;;;;800K;11:25.96
;;;;1500K;22:46.48
Schwimmer16;Max16;m;;50S;00:35.71
;;;;50R;00:36.38
;;;;50B;00:36.73
;;;;50K;00:30.93
;;;;100S;01:11.27
;;;;100R;01:02.00
;;;;100B;01:18.06
;;;;100K;01:21.18
;;;;100Lg;01:13.80
;;;;200S;02:27.89
;;;;200R;02:17.61
;;;;200B;02:27.81
;;;;200K;02:31.81
;;;;200Lg;02:44.38
;;;;400K;06:13.38
;;;;400Lg;05:33.93
;;;;800K;10:40.08
;;;;1500K;26:45.91
Schwimmer17;Max17;m;;50S;00:33.43
;;;;50R;00:29.78
;;;;50B;00:32.79
;;;;50K;00:34.91
;;;;100S;01:21.08
;;;;100R;01:20.86
;;;;100B;01:18.80
;;;;100K;01:15.69
;;;;100Lg;01:17.11
;;;;200S;02:49.95
;;;;200R;02:13.40
;;;;200B;02:34.78
;;;;200K;02:39.77
;;;;200Lg;02:26.52
;;;;400K;05:00.02
;;;;400Lg;04:54.99
;;;;800K;13:04.64
;;;;1500K;25:01.02
Schwimmer18;Max18;m;;50S;00:31.54
;;;;50R;00:37.28
;;;;50B;00:33.27
;;;;50K;00:28.75
;;;;100S;01:16.93
;;;;100R;01:07.66
;;;;100B;01:20.00
;;;;100K;01:13.21
;;;;100Lg;01:08.14
;;;;200S;02:48.88
;;;;200R;02:29.70
;;;;200B;02:21.57
;;;;200K;02:35.27
;;;;200Lg;02:50.23
;;;;400K;05:02.34
;;;;400Lg;05:54.87
;;;;800K;11:16.26
;;;;1500K;24:37.03
Schwimmer19;Max19;m;;50S;00:32.34
;;;;50R;00:30.50
;;;;50B;00:30.02
;;;;50K;00:31.67
;;;;100S;01:16.13
;;;;100R;01:02.07
;;;;100B;01:13.84
;;;;100K;01:07.39
;;;;100Lg;01:07.52
;;;;200S;02:38.08
;;;;200R;02:16.01
;;;;200B;02:31.04
;;;;200K;02:48.38
;;;;200Lg;02:20.07
;;;;400K;04:59.53
;;;;400Lg;05:15.94
;;;;800K;13:00.10
;;;;1500K;24:08.83
Schwimmer20;Max20;m;;50S;00:35.77
;;;;50R;00:31.39
;;;;50B;00:33.74
;;;;50K;00:33.56
;;;;100S;01:10.37
;;;;100R;01:16.90
;;;;100B;01:15.37
;;;;100K;01:17.63
;;;;100Lg;01:14.41
;;;;200S;02:42.66
;;;;200R;02:15.33
;;;;200B;02:36.86
;;;;200K;02:38.92
;;;;200Lg;02:51.54
;;;;400K;06:00.15
;;;;400Lg;04:52.84
;;;;800K;12:16.09
;;;;1500K;25:30.04
Schwimmer21;Max21;m;;50S;00:32.32
;;;;50R;00:33.17
;;;;50B;00:36.16
;;;;50K;00:31.27
;;;;100S;01:04.53
;;;;100R;01:06.69
;;;;100B;01:12.89
;;;;100K;01:07.21
;;;;100Lg;01:19.38
;;;;200S;02:38.06
;;;;200R;02:33.57
;;;;200B;02:42.39
;;;;200K;02:19.24
;;;;200Lg;02:18.56
;;;;400K;05:51.84
;;;;400Lg;05:48.68
;;;;800K;13:31.44
;;;;1500K;24:37.35
Schwimmer22;Max22;m;;50S;00:30.18
;;;;50R;00:35.28
;;;;50B;00:30.25
;;;;50K;00:29.16
;;;;100S;01:09.70
;;;;100R;01:04.35
;;;;100B;01:08.42
;;;;100K;01:12.24
;;;;100Lg;01:15.09
;;;;200S;02:33.33
;;;;200R;02:36.93
;;;;200B;02:44.16
;;;;200K;02:51.58
;;;;200Lg;02:39.83
;;;;400K;05:40.06
;;;;400Lg;05:15.22
;;;;800K;12:43.18
;;;;1500K;25:38.86
Schwimmer23;Max23;m;;50S;00:29.83
;;;;50R;00:33.21
;;;;50B;00:35.62
;;;;50K;00:36.01
;;;;100S;01:05.91
