Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
Schwimmer1;Test1;m;26;50S;00:37.07
;;;;50R;00:36.79
;;;;50B;00:35.12
;;;;50K;00:27.91
;;;;100S;01:19.10
;;;;100R;01:36.17
;;;;100B;01:12.79
;;;;100K;01:11.20
;;;;100Lg;01:33.43
;;;;200S;02:28.46
;;;;200R;02:52.31
;;;;200B;02:56.70
;;;;200K;02:25.06
;;;;200Lg;03:08.41
;;;;400K;05:17.81
;;;;400Lg;05:26.28
;;;;800K;11:58.32
;;;;1500K;20:01.07
Schwimmer2;Test2;w;92;50S;00:31.72
;;;;50R;00:33.54
;;;;50B;00:35.78
;;;;50K;00:31.72
;;;;100S;01:17.28
;;;;100R;01:30.90
;;;;100B;01:17.25
;;;;100K;01:14.33
;;;;100Lg;01:24.45
;;;;200S;02:51.99
;;;;200R;02:26.88
;;;;200B;03:30.22
;;;;200K;02:29.39
;;;;200Lg;03:13.42
;;;;400K;05:25.34
;;;;400Lg;05:27.55
;;;;800K;12:01.34
;;;;1500K;20:26.43
Schwimmer3;Test3;m;74;50S;00:31.77
;;;;50R;00:41.98
;;;;50B;00:40.75
;;;;50K;00:34.41
;;;;100S;01:09.23
;;;;100R;01:17.37
;;;;100B;01:41.69
;;;;100K;01:18.35
;;;;100Lg;01:34.03
;;;;200S;02:52.47
;;;;200R;03:18.38
;;;;200B;03:45.14
;;;;200K;02:14.78
;;;;200Lg;03:39.72
;;;;400K;05:35.92
;;;;400Lg;05:25.42
;;;;800K;14:54.45
;;;;1500K;24:43.38
Schwimmer4;Test4;w;11;50S;00:37.82
;;;;50R;00:33.77
;;;;50B;00:39.10
;;;;50K;00:35.56
;;;;100S;01:17.02
;;;;100R;01:15.85
;;;;100B;01:21.74
;;;;100K;01:15.27
;;;;100Lg;01:19.11
;;;;200S;02:32.24
;;;;200R;02:39.87
;;;;200B;02:54.20
;;;;200K;02:21.67
;;;;200Lg;02:41.01
;;;;400K;05:02.85
;;;;400Lg;05:13.93
;;;;800K;12:45.31
;;;;1500K;21:02.27
Schwimmer5;Test5;m;98;50S;00:30.64
;;;;50R;00:31.03
;;;;50B;00:44.13
;;;;50K;00:29.80
;;;;100S;01:29.72
;;;;100R;01:26.42
;;;;100B;01:36.02
;;;;100K;00:59.57
;;;;100Lg;01:12.54
;;;;200S;02:13.28
;;;;200R;02:49.83
;;;;200B;02:47.38
;;;;200K;02:27.09
;;;;200Lg;03:37.30
;;;;400K;04:39.70
;;;;400Lg;05:49.81
;;;;800K;12:16.40
;;;;1500K;22:42.75
Schwimmer6;Test6;w;51;50S;00:28.36
;;;;50R;00:40.33
;;;;50B;00:46.07
;;;;50K;00:26.10
;;;;100S;01:16.30
;;;;100R;01:30.18
;;;;100B;01:10.63
;;;;100K;01:02.97
;;;;100Lg;01:16.27
;;;;200S;02:55.66
;;;;200R;02:39.02
;;;;200B;03:30.40
;;;;200K;02:20.67
;;;;200Lg;02:28.98
;;;;400K;04:41.44
;;;;400Lg;05:08.07
;;;;800K;14:39.98
;;;;1500K;21:29.42
Schwimmer7;Test7;w;78;50S;00:30.61
;;;;50R;00:30.50
;;;;50B;00:48.62
;;;;50K;00:37.76
;;;;100S;01:05.53
;;;;100R;01:29.71
;;;;100B;01:20.40
;;;;100K;01:05.99
;;;;100Lg;01:24.46
;;;;200S;03:03.15
;;;;200R;03:27.62
;;;;200B;03:03.13
;;;;200K;02:21.74
;;;;200Lg;03:07.75
;;;;400K;04:49.99
;;;;400Lg;05:54.48
;;;;800K;12:26.09
;;;;1500K;21:21.97
Schwimmer8;Test8;m;18;50S;00:37.86
;;;;50R;00:36.14
;;;;50B;00:47.92
;;;;50K;00:28.24
;;;;100S;01:21.20
;;;;100R;01:33.61
;;;;100B;01:22.30
;;;;100K;01:05.79
;;;;100Lg;01:14.95
;;;;200S;02:23.89
;;;;200R;02:34.33
;;;;200B;02:37.95
;;;;200K;02:55.26
;;;;200Lg;02:59.92
;;;;400K;05:08.48
;;;;400Lg;05:03.93
;;;;800K;11:12.66
;;;;1500K;18:36.06
Schwimmer9;Test9;m;3;50S;00:31.21
;;;;50R;00:37.01
;;;;50B;00:42.88
;;;;50K;00:36.81
;;;;100S;01:05.63
;;;;100R;01:25.47
;;;;100B;01:24.30
;;;;100K;00:59.34
;;;;100Lg;01:14.23
;;;;200S;02:22.00
;;;;200R;03:13.18
;;;;200B;03:32.72
;;;;200K;02:07.29
;;;;200Lg;03:01.03
;;;;400K;05:41.55
;;;;400Lg;06:57.76
;;;;800K;10:18.45
;;;;1500K;22:40.85
Schwimmer10;Test10;w;20;50S;00:39.78
;;;;50R;00:33.23
;;;;50B;00:37.16
;;;;50K;00:31.38
;;;;100S;01:08.09
;;;;100R;01:05.57
;;;;100B;01:38.32
;;;;100K;00:58.90
;;;;100Lg;01:29.84
;;;;200S;03:02.29
;;;;200R;03:11.34
;;;;200B;02:59.55
;;;;200K;02:41.50
;;;;200Lg;03:23.43
;;;;400K;04:54.36
;;;;400Lg;05:35.77
;;;;800K;12:27.03
;;;;1500K;20:19.89
Schwimmer11;Test11;w;90;50S;00:37.38
;;;;50R;00:42.54
;;;;50B;00:35.99
;;;;50K;00:34.67
;;;;100S;01:13.11
;;;;100R;01:25.93
;;;;100B;01:49.55
;;;;100K;01:09.45
;;;;100Lg;01:06.05
;;;;200S;03:00.86
;;;;200R;02:21.95
;;;;200B;03:51.05
;;;;200K;02:35.96
;;;;200Lg;03:09.02
;;;;400K;04:21.79
;;;;400Lg;05:48.72
;;;;800K;14:48.44
;;;;1500K;23:16.01
Schwimmer12;Test12;w;39;50S;00:31.75
;;;;50R;00:39.82
;;;;50B;00:49.61
;;;;50K;00:37.06
;;;;100S;01:13.65
;;;;100R;01:30.11
;;;;100B;01:40.22
;;;;100K;01:23.01
;;;;100Lg;01:04.31
;;;;200S;03:08.22
;;;;200R;02:56.49
;;;;200B;03:23.95
;;;;200K;02:38.71
;;;;200Lg;02:38.82
;;;;400K;05:20.73
;;;;400Lg;06:04.94
;;;;800K;14:34.66
;;;;1500K;24:21.61
Schwimmer13;Test13;w;75;50S;00:36.53
;;;;50R;00:30.86
;;;;50B;00:39.04
;;;;50K;00:30.40
;;;;100S;01:23.12
;;;;100R;01:35.22
;;;;100B;01:47.88
;;;;100K;01:22.44
;;;;100Lg;01:13.47
;;;;200S;02:56.27
;;;;200R;03:12.75
;;;;200B;02:45.39
;;;;200K;02:05.89
;;;;200Lg;03:21.57
;;;;400K;05:15.97
;;;;400Lg;05:08.06
;;;;800K;11:10.16
;;;;1500K;23:23.69
Schwimmer14;Test14;w;38;50S;00:31.08
;;;;50R;00:30.39
;;;;50B;00:46.16
;;;;50K;00:33.36
;;;;100S;01:18.02
;;;;100R;01:13.55
;;;;100B;01:15.25
;;;;100K;00:55.93
;;;;100Lg;01:25.83
;;;;200S;02:56.71
;;;;200R;02:43.39
;;;;200B;03:31.37
;;;;200K;02:41.85
;;;;200Lg;02:58.40
;;;;400K;05:43.75
;;;;400Lg;06:31.07
;;;;800K;10:59.28
;;;;1500K;22:15.39
Schwimmer15;Test15;m;61;50S;00:33.72
;;;;50R;00:30.45
;;;;50B;00:42.77
;;;;50K;00:26.71
;;;;100S;01:11.57
;;;;100R;01:30.25
;;;;100B;01:23.79
;;;;100K;00:55.07
;;;;100Lg;01:02.87
;;;;200S;02:50.87
;;;;200R;03:06.55
;;;;200B;03:07.56
;;;;200K;02:18.81
;;;;200Lg;03:07.24
;;;;400K;05:50.48
;;;;400Lg;05:49.56
;;;;800K;10:53.08
;;;;1500K;23:27.04
Schwimmer16;Test16;m;28;50S;00:30.06
;;;;50R;00:31.44
;;;;50B;00:47.99
;;;;50K;00:26.68
;;;;100S;01:01.33
;;;;100R;01:18.33
;;;;100B;01:37.52
;;;;100K;00:57.03
;;;;100Lg;01:24.27
;;;;200S;02:39.23
;;;;200R;02:57.29
;;;;200B;02:59.55
;;;;200K;02:09.77
;;;;200Lg;02:27.54
;;;;400K;04:38.49
;;;;400Lg;06:13.53
;;;;800K;11:25.47
;;;;1500K;20:18.55
Schwimmer17;Test17;w;51;50S;00:39.62
;;;;50R;00:31.70
;;;;50B;00:46.41
;;;;50K;00:30.56
;;;;100S;01:19.91
;;;;100R;01:21.48
;;;;100B;01:26.68
;;;;100K;01:12.59
;;;;100Lg;01:32.71
;;;;200S;02:20.18
;;;;200R;02:46.72
;;;;200B;03:05.07
;;;;200K;02:08.44
;;;;200Lg;03:11.16
;;;;400K;04:43.26
;;;;400Lg;06:52.99
;;;;800K;10:51.99
;;;;1500K;21:06.87
Schwimmer18;Test18;m;20;50S;00:29.43
;;;;50R;00:44.51
;;;;50B;00:44.46
;;;;50K;00:35.85
;;;;100S;01:03.37
;;;;100R;01:29.45
;;;;100B;01:20.35
;;;;100K;00:57.11
;;;;100Lg;01:11.25
;;;;200S;02:22.41
;;;;200R;02:31.47
;;;;200B;03:26.45
;;;;200K;02:25.42
;;;;200Lg;02:50.91
;;;;400K;05:07.17
;;;;400Lg;06:45.59
;;;;800K;14:33.76
;;;;1500K;23:23.19
Schwimmer19;Test19;m;77;50S;00:30.44
;;;;50R;00:35.66
;;;;50B;00:36.40
;;;;50K;00:30.82
;;;;100S;01:15.50
;;;;100R;01:22.85
;;;;100B;01:42.13
;;;;100K;01:03.38
;;;;100Lg;01:29.59
;;;;200S;02:31.17
;;;;200R;02:27.33
;;;;200B;03:02.61
;;;;200K;02:39.95
;;;;200Lg;03:14.45
;;;;400K;04:58.16
;;;;400Lg;05:39.22
;;;;800K;12:21.86
;;;;1500K;19:39.08
Schwimmer20;Test20;m;92;50S;00:31.30
;;;;50R;00:42.35
;;;;50B;00:41.17
;;;;50K;00:32.58
;;;;100S;01:01.93
;;;;100R;01:16.34
;;;;100B;01:14.41
;;;;100K;01:14.11
;;;;100Lg;01:19.41
;;;;200S;03:08.64
;;;;200R;02:29.04
;;;;200B;03:47.48
;;;;200K;02:15.31
;;;;200Lg;02:50.78
;;;;400K;04:42.25
;;;;400Lg;05:00.60
;;;;800K;12:31.43
;;;;1500K;21:18.55
Schwimmer21;Test21;m;51;50S;00:30.99
;;;;50R;00:38.77
;;;;50B;00:45.65
;;;;50K;00:37.73
;;;;100S;01:02.52
;;;;100R;01:39.37
;;;;100B;01:26.60
;;;;100K;01:07.68
;;;;100Lg;01:11.85
;;;;200S;03:00.30
;;;;200R;03:15.57
;;;;200B;03:40.58
;;;;200K;02:22.49
;;;;200Lg;02:42.92
;;;;400K;05:21.98
;;;;400Lg;06:08.47
;;;;800K;10:56.77
;;;;1500K;20:54.76
Schwimmer22;Test22;m;24;50S;00:35.04
;;;;50R;00:35.45
;;;;50B;00:36.43
;;;;50K;00:30.63
;;;;100S;01:00.87
;;;;100R;01:05.28
;;;;100B;01:28.92
;;;;100K;01:16.06
;;;;100Lg;01:28.69
;;;;200S;02:27.46
;;;;200R;02:50.34
;;;;200B;02:50.24
;;;;200K;02:52.67
;;;;200Lg;02:54.85
;;;;400K;05:18.94
;;;;400Lg;05:45.39
;;;;800K;11:01.69
;;;;1500K;23:50.09
Schwimmer23;Test23;w;9;50S;00:37.55
;;;;50R;00:41.22
;;;;50B;00:39.15
;;;;50K;00:27.67
;;;;100S;01:15.64
;;;;100R;01:30.72
;;;;100B;01:18.85
;;;;100K;01:18.25
;;;;100Lg;01:13.46
;;;;200S;03:06.23
;;;;200R;02:32.39
;;;;200B;03:20.77
;;;;200K;02:59.05
;;;;200Lg;02:58.96
;;;;400K;05:43.64
;;;;400Lg;06:44.57
;;;;800K;13:01.09
;;;;1500K;20:48.02
Schwimmer24;Test24;m;17;50S;00:35.88
;;;;50R;00:30.99
;;;;50B;00:40.82
;;;;50K;00:33.35
;;;;100S;01:09.38
