Name;Vorname;Geschlecht;Ausdauer;Strecke;Zeit
Müller;Lukas;m;26;50S;00:37.07
;;;;50R;00:36.79
;;;;50B;00:35.12
;;;;50K;00:27.91
;;;;100S;01:19.10
;;;;100R;01:36.17
;;;;100B;01:12.79
;;;;100K;01:11.20
;;;;100Lg;01:33.43
;;;;200S;02:28.46
;;;;200R;02:52.31
;;;;200B;02:56.70
;;;;200K;02:25.06
;;;;200Lg;03:08.41
;;;;400K;05:17.81
;;;;400Lg;05:26.28
;;;;800K;11:58.32
;;;;1500K;20:01.07
Schmidt;Anna;w;92;50S;00:31.72
;;;;50R;00:33.54
;;;;50B;00:35.78
;;;;50K;00:31.72
;;;;100S;01:17.28
;;;;100R;01:30.90
;;;;100B;01:17.25
;;;;100K;01:14.33
;;;;100Lg;01:24.45
;;;;200S;02:51.99
;;;;200R;02:26.88
;;;;200B;03:30.22
;;;;200K;02:29.39
;;;;200Lg;03:13.42
;;;;400K;05:25.34
;;;;400Lg;05:27.55
;;;;800K;12:01.34
;;;;1500K;20:26.43
Schneider;Paul;m;74;50S;00:31.77
;;;;50R;00:41.98
;;;;50B;00:40.75
;;;;50K;00:34.41
;;;;100S;01:09.23
;;;;100R;01:17.37
;;;;100B;01:41.69
;;;;100K;01:18.35
;;;;100Lg;01:34.03
;;;;200S;02:52.47
;;;;200R;03:18.38
;;;;200B;03:45.14
;;;;200K;02:14.78
;;;;200Lg;03:39.72
;;;;400K;05:35.92
;;;;400Lg;05:25.42
;;;;800K;14:54.45
;;;;1500K;24:43.38
Fischer;Marie;w;11;50S;00:37.82
;;;;50R;00:33.77
;;;;50B;00:39.10
;;;;50K;00:35.56
;;;;100S;01:17.02
;;;;100R;01:15.85
;;;;100B;01:21.74
;;;;100K;01:15.27
;;;;100Lg;01:19.11
;;;;200S;02:32.24
;;;;200R;02:39.87
;;;;200B;02:54.20
;;;;200K;02:21.67
;;;;200Lg;02:41.01
;;;;400K;05:02.85
;;;;400Lg;05:13.93
;;;;800K;12:45.31
;;;;1500K;21:02.27
